LowAlpha,LowAlphaPhase,HighAlpha,HighAlphaPhase,LowBeta,LowBetaPhase,HighBeta,HighBetaPhase,LowGamma,LowGammePhase,HighGamma,HighGammaPhase,eyes
377.9793812,-0.751940569,228.3571249,-1.401547781,145.825978,0.25623543,243.3504292,-0.961233387,257.1408166,-0.009836089,237.4994785,-1.055882152,0
321.9994326,1.595595281,134.6295394,-0.314420149,158.1999679,-0.226868106,240.9911787,-0.369141355,260.8790418,-0.279014733,240.8559251,-0.775758713,0
439.6247627,0.620928348,190.4819499,1.09826867,142.3534823,0.647360017,242.2818804,0.247047109,279.0064724,-0.411061148,247.7463746,-0.864786275,0
295.8119463,0.020993736,198.1860045,1.98522796,226.9090721,1.295974845,238.1704488,0.217813363,293.6622486,-0.024237047,240.5070911,-0.49735597,0
368.0175798,-1.458543682,121.882106,-0.077226738,175.1643927,0.082238475,204.5442673,-0.068411137,280.0453475,-0.377990388,235.1602305,-0.540681442,0
295.3521898,0.249564848,124.9421621,0.942247093,172.4428768,-0.382528195,160.2644955,0.100249126,271.1364973,-0.512803883,233.366078,-0.070611472,0
273.4517849,-0.489245099,127.5161776,1.297415422,199.7929483,0.227354148,145.7146801,1.106312969,278.0565674,-0.183124317,236.4748282,-1.049291893,0
273.4960676,-1.821103378,168.86105,-0.20180447,176.7733199,0.823484131,126.6260451,-0.491976402,222.8077324,-0.000365204,195.8355864,0.156057191,0
267.3827456,0.758253677,190.2556441,-1.636708756,184.2383661,-1.197748978,156.8116636,-1.317585128,201.9177988,-0.224854523,220.9342121,0.279920776,0
433.5186956,2.037556352,115.1005842,-0.166815164,166.9320197,-0.661516566,170.3350981,1.041685116,226.4607327,0.273427609,238.0945389,0.257007721,0
498.824853,1.478149463,126.4353855,0.90514804,253.3987186,1.481762738,157.1275028,1.443260765,199.503043,0.489512178,238.3209099,0.573502326,0
390.5154103,-0.242404272,193.0667173,-0.046824268,195.8988048,-1.77875725,110.9317476,0.010442741,196.1838833,-0.238415028,235.0278894,0.075229854,0
499.9692465,-1.378734984,214.7524796,-0.563894412,217.7501107,-0.002400635,117.6968692,0.144565462,179.3490893,-0.420853895,216.0490156,-0.020744154,0
521.8400463,-1.955821486,262.2189053,-0.107458945,234.9225597,0.053616347,148.5434076,-0.750396267,198.5500378,0.472905451,218.9405204,0.111806747,0
427.2670993,-0.07955102,256.611838,-1.152946319,219.111166,-1.93558064,132.425989,0.503650943,177.1268269,0.261924149,218.8642,0.257715792,0
530.6431239,-0.981865616,272.1405621,-0.495843306,208.2813809,-0.096208919,162.6093417,-0.162521205,169.6848215,0.232325974,182.7711718,0.173491394,0
373.2363725,1.149164765,205.3951457,0.067186893,220.352127,0.472245872,148.0581777,0.680052198,160.9475107,0.577443481,172.4685975,0.404111162,0
444.701981,-0.175347515,231.9926311,1.151892301,186.5363747,-0.172982405,181.0338585,0.906802144,163.2023578,0.945814336,180.6416025,-0.272954029,0
447.1737636,2.37758935,228.5939007,-0.75699097,190.2413171,0.765643308,195.8667994,0.997347307,152.4360211,0.730463167,139.4721048,0.635342347,0
211.5943752,1.842676092,317.0463447,-0.417644978,190.434853,-0.28925259,171.7469275,-0.606789918,140.4082383,-0.380309153,137.1386867,-0.211010114,0
235.5028714,0.12881295,359.4756549,-1.619621278,143.0717917,0.237242291,179.8194155,-1.042931386,137.2138453,-0.080801451,156.5120373,-0.275699865,0
293.3319019,-0.889717555,420.3603922,-1.098121327,195.4104416,-0.227525669,178.9864955,-0.420578472,150.3354212,0.012786216,173.8938961,-0.39539642,0
